,1,2,3,4,5,6,7,8,9
100,(-0.009949887920790384+0j),(-0.01903935966555547+0j),(-0.015511426265190423+0j),(0.0172596759835764+0j),(0.02383403666970257+0j),(0.00771486571322796+0j),(0.02358774349867419+0j),(-0.024012174264554077+0j),(-0.009075710499264741+0j)
101,(-0.004111014332277541+0j),(-0.015801866064411207+0j),(0.002732410242170923+0j),(0.015997526728244917+0j),(-0.004850251765308049+0j),(3.678125707641789e-05+0j),(0.0017459657446663522+0j),(0.011936300122947998+0j),(-0.0034015240170273625+0j)
102,(0.025763383244657694+0j),(0.01229651801957647+0j),(0.019772983822822294+0j),(-0.03652208170459428+0j),(-0.012789892673544535+0j),(-0.018633534829206704+0j),(-0.004622241583661619+0j),(0.04474146025499215+0j),(-0.012231508296907254+0j)
103,(0.01071657280617344+0j),(0.003301504889368617+0j),(-0.03892864336882777+0j),(0.008242652863261828+0j),(0.006341684129015574+0j),(-0.010763530389498323+0j),(0.008212293293637686+0j),(0.0019330295183120876+0j),(0.002806021329749115+0j)
104,(0.04494024381064669+0j),(0.016836072319082043+0j),(-0.01471908231731936+0j),(0.003979707180849735+0j),(0.08195863500408652+0j),(0.00971351578032128+0j),(0.008486037949251036+0j),(-0.023480320115533772+0j),(-0.0017326791110683813+0j)
105,(0.06010566747465776+0j),(0.03145085296866642+0j),(0.06217680349301403+0j),(0.0015816690292378003+0j),(0.014309341332216022+0j),(-0.032079092340788415+0j),(-0.004053740841168594+0j),(0.02384399587158125+0j),(0.00047009792275971634+0j)
106,(-0.004353239683440413+0j),(-0.018497763649888394+0j),(-0.01661000834947482+0j),(-0.03532849957280509+0j),(-0.026189774157461272+0j),(-0.00894879556806571+0j),(-0.015144617802288877+0j),(0.08726850527064928+0j),(-0.03372292952341201+0j)
107,(-0.019535028156655088+0j),(-0.020555952427887762+0j),(-0.0018446809207033016+0j),(-0.020826013434938236+0j),(-0.023128245266187456+0j),(-0.00751422446364488+0j),(0.0649623102218793+0j),(0.04161919938669136+0j),(-0.023953923897919966+0j)
108,(0.02498564546199383+0j),(0.008381878829461837+0j),(0.014047910340651198+0j),(-0.01577527273170066+0j),(-0.005351512020357775+0j),(-0.01980291556052499+0j),(0.0005871180570336765+0j),(0.008757602651059385+0j),(0.007488209125253693+0j)
109,(0.014117819212700009+0j),(0.008252092361163432+0j),(0.0013812101578457834+0j),(0.015978080966838358+0j),(0.042391261661992176+0j),(-0.036213816698634896+0j),(0.023894857740753873+0j),(0.007326836225642429+0j),(0.03157401649847854+0j)
110,(0.03094354189218346+0j),(0.04860796857162078+0j),(-0.01825049839151726+0j),(-0.023278245758320007+0j),(0.03842201210323674+0j),(-0.034268876079415846+0j),(0.023114938714592165+0j),(-0.035223005276213526+0j),(-0.04660663449698156+0j)
